frame_idx,dt_ms,view_sse,visible_n,partition_n,load_n,spawn_n,tex_upload_n,evict_n,gpu_tex_cache,mesh_backlog,dl_in_flight,stale_skips,retry_after,frame_mesh,frame_despawn,evict_deferred
86,0.883,0,48,0,0,0,0,0,5,0,79,0,0,0,0,0
87,0.733,0,48,0,0,0,0,0,5,0,79,0,0,0,0,0
88,6.925,0,48,0,0,0,0,0,5,0,79,0,0,0,0,0
89,24.768,0,48,0,0,0,1,0,6,0,78,0,0,0,0,0
90,0.893,0,48,0,0,0,1,0,7,0,77,0,0,0,0,0
91,1.026,0,48,0,0,0,0,0,7,0,77,0,0,0,0,0
92,6.420,0,48,0,0,0,2,0,9,0,75,0,0,0,0,0
93,25.163,0,48,0,0,0,0,0,9,0,75,0,0,0,0,0
94,1.256,0,48,0,0,0,0,0,9,0,75,0,0,0,0,0
95,0.703,0,48,0,0,0,0,0,9,0,75,0,0,0,0,0
96,6.081,0,48,0,0,0,0,0,9,0,75,0,0,0,0,0
97,25.231,0,48,0,0,0,1,0,10,0,74,0,0,0,0,0
98,1.010,0,48,0,0,0,0,0,10,0,74,0,0,0,0,0
99,0.840,0,48,0,0,0,0,0,10,0,74,0,0,0,0,0
100,6.233,0,48,0,0,0,0,0,10,0,74,0,0,0,0,0
101,25.098,0,48,0,0,0,0,0,10,0,74,0,0,0,0,0
102,0.883,0,48,0,0,0,0,0,10,0,74,0,0,0,0,0
103,0.673,0,48,0,0,0,0,0,10,0,74,0,0,0,0,0
104,8.069,0,48,0,0,0,0,0,10,0,74,0,0,0,0,0
105,23.812,0,48,0,0,0,0,0,10,0,74,0,0,0,0,0
106,0.905,0,48,0,0,0,0,0,10,0,74,0,0,0,0,0
107,0.716,0,48,0,0,0,0,0,10,0,74,0,0,0,0,0
108,6.694,0,48,0,0,0,0,0,10,0,74,0,0,0,0,0
109,24.931,0,48,0,0,0,0,0,10,0,74,0,0,0,0,0
110,1.069,0,48,0,0,0,0,0,10,0,74,0,0,0,0,0
111,0.849,0,48,0,0,0,0,0,10,0,74,0,0,0,0,0
112,6.589,0,48,0,0,0,0,0,10,0,74,0,0,0,0,0
113,24.911,0,48,0,0,0,1,0,11,0,73,0,0,0,0,0
114,0.863,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
115,0.843,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
116,6.369,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
117,25.236,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
118,1.051,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
119,0.777,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
120,7.194,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
121,24.347,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
122,1.077,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
123,0.694,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
124,6.397,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
125,25.047,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
126,0.928,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
127,0.736,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
128,6.678,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
129,25.068,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
130,0.798,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
131,0.624,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
132,6.671,0,48,0,0,0,0,0,11,0,73,0,0,0,0,0
133,25.216,0,48,0,0,0,1,0,12,0,72,0,0,0,0,0
134,0.855,0,48,0,0,0,0,0,12,0,72,0,0,0,0,0
135,0.800,0,48,0,0,0,0,0,12,0,72,0,0,0,0,0
136,6.844,0,48,0,0,0,0,0,12,0,72,0,0,0,0,0
137,24.753,0,48,0,0,0,1,0,13,0,71,0,0,0,0,0
138,0.899,0,48,0,0,0,0,0,13,0,71,0,0,0,0,0
139,0.825,0,48,0,0,0,0,0,13,0,71,0,0,0,0,0
140,6.708,0,48,0,0,0,0,0,13,0,71,0,0,0,0,0
141,25.080,0,48,0,0,0,0,0,13,0,71,0,0,0,0,0
142,0.821,0,48,0,0,0,0,0,13,0,71,0,0,0,0,0
143,0.822,0,48,0,0,0,0,0,13,0,71,0,0,0,0,0
144,7.056,0,48,0,0,0,0,0,13,0,71,0,0,0,0,0
145,24.561,0,48,0,0,0,0,0,13,0,71,0,0,0,0,0
146,0.837,0,48,0,0,0,0,0,13,0,71,0,0,0,0,0
147,1.615,0,48,0,0,0,0,0,13,0,71,0,0,0,0,0
148,5.713,0,48,0,0,0,0,0,13,0,71,0,0,0,0,0
149,25.083,0,48,0,0,0,0,0,13,0,71,0,0,0,0,0
150,0.799,0,48,0,0,0,0,0,13,0,71,0,0,0,0,0
151,0.639,0,48,0,0,0,0,0,13,0,71,0,0,0,0,0
152,7.027,0,48,0,0,0,1,0,14,0,70,0,0,0,0,0
153,25.011,0,48,0,0,0,0,0,14,0,70,0,0,0,0,0
154,1.141,0,48,0,0,0,0,0,14,0,70,0,0,0,0,0
155,0.706,0,48,0,0,0,0,0,14,0,70,0,0,0,0,0
156,6.341,0,48,0,0,0,0,0,14,0,70,0,0,0,0,0
157,25.063,0,48,0,0,0,0,0,14,0,70,0,0,0,0,0
158,1.043,0,48,0,0,0,0,0,14,0,70,0,0,0,0,0
159,0.692,0,48,0,0,0,0,0,14,0,70,0,0,0,0,0
160,7.073,0,48,0,0,0,1,0,15,0,69,0,0,0,0,0
161,24.682,0,48,0,0,0,1,0,16,0,68,0,0,0,0,0
162,0.962,0,48,0,0,0,0,0,16,0,68,0,0,0,0,0
163,0.780,0,48,0,0,0,0,0,16,0,68,0,0,0,0,0
164,6.449,0,48,0,0,0,0,0,16,0,68,0,0,0,0,0
165,24.980,0,48,0,0,0,1,0,17,0,67,0,0,0,0,0
166,1.056,0,48,0,0,0,0,0,17,0,67,0,0,0,0,0
167,0.801,0,48,0,0,0,0,0,17,0,67,0,0,0,0,0
168,6.777,0,48,0,0,0,0,0,17,0,67,0,0,0,0,0
169,24.740,0,48,0,0,0,0,0,17,0,67,0,0,0,0,0
170,0.847,0,48,0,0,0,0,0,17,0,67,0,0,0,0,0
171,0.727,0,48,0,0,0,0,0,17,0,67,0,0,0,0,0
172,6.683,0,49,0,0,1,0,0,17,0,67,0,0,0,0,0
173,24.975,0,49,0,0,0,0,0,17,0,67,0,0,0,0,0
174,0.849,0,49,0,0,0,0,0,17,0,67,0,0,0,0,0
175,0.657,0,49,0,0,0,0,0,17,0,67,0,0,0,0,0
176,8.173,0,49,0,0,0,0,0,17,0,67,0,0,0,0,0
177,23.830,0,49,0,0,0,0,0,17,0,67,0,0,0,0,0
178,0.919,0,49,0,0,0,0,0,17,0,67,0,0,0,0,0
179,0.681,0,49,0,0,0,0,0,17,0,67,0,0,0,0,0
180,6.468,0,49,0,0,0,2,0,19,0,65,0,0,0,0,0
181,25.078,0,49,0,0,0,0,0,19,0,65,0,0,0,0,0
182,1.214,0,49,0,0,0,0,0,19,0,65,0,0,0,0,0
183,0.682,0,49,0,0,0,0,0,19,0,65,0,0,0,0,0
184,6.752,0,50,0,0,1,0,0,19,0,65,0,0,0,0,0
185,24.731,0,50,0,0,0,0,0,19,0,65,0,0,0,0,0
186,0.865,0,50,0,0,0,0,0,19,0,65,0,0,0,0,0
187,0.679,0,50,0,0,0,0,0,19,0,65,0,0,0,0,0
188,6.817,0,50,0,0,0,0,0,19,0,65,0,0,0,0,0
189,24.971,0,50,0,0,0,2,0,21,0,63,0,0,0,0,0
190,0.931,0,50,0,0,0,0,0,21,0,63,0,0,0,0,0
191,1.128,0,50,0,0,0,0,0,21,0,63,0,0,0,0,0
192,6.282,0,50,0,0,0,0,0,21,0,63,0,0,0,0,0
